KOI	RPLANET	PER	UPER	A	TPLANET	MSTAR	TSTAR	RSTAR	RR
1305.01	1.25	2.6338932	0.0000275	0.035	1070	0.85	5235	0.75	0.01526
1364.05	1.75	2.5808499	0.0000502	0.035	1191	0.88	5311	0.91	0.01773
1436.01	1.34	2.508567	0.0000254	0.035	1230	0.91	5616	0.86	0.01428
1965.01	1.44	2.5146147	0.0000192	0.035	1157	0.91	5465	0.81	0.01642
1973.01	1.55	3.2901688	0.0000193	0.035	738	0.54	4360	0.52	0.02754
2006.01	0.85	3.2734589	0.0000202	0.035	649	0.52	3875	0.5	0.01554
2014.01	2.36	2.4660769	0.0000138	0.035	1186	0.92	5451	0.85	0.02544
2300.01	1.28	2.685058	0.0000186	0.035	1101	0.8	5096	0.84	0.01399
2357.01	1.39	2.4209142	0.0000374	0.035	1251	0.94	5765	0.85	0.01506
2466.01	0.88	3.1733384	0.0000387	0.035	770	0.59	4359	0.56	0.01432
1.01	14.42	2.4706132	1.00E-07	0.036	1394	1.14	5814	1.06	0.12432
292.01	1.64	2.5866272	0.0000094	0.036	1329	1.11	5780	0.98	0.01537
534.02	1.67	2.73589	0.0000175	0.036	1017	0.89	5145	0.72	0.02115
583.01	1.54	2.4370184	0.0000198	0.036	1286	1.05	5735	0.93	0.01513
794.01	2.12	2.5391695	0.0000201	0.036	1288	1.07	5744	0.93	0.0209
1078.01	2.02	3.3537072	0.0000155	0.036	667	0.56	3931	0.53	0.03475
1101.01	1.37	2.8477395	0.0000592	0.036	939	0.79	4825	0.7	0.01786
1163.01	1.52	2.9364969	0.0000208	0.036	1099	1.01	5419	0.76	0.0183
1511.01	1.67	2.5788779	0.0000187	0.036	1161	1.01	5520	0.82	0.01867
1612.01	0.76	2.4649988	0.0000198	0.036	1606	1.05	6027	1.31	0.00531
1636.01	1.07	2.6183491	0.0000462	0.036	1169	0.88	5697	0.78	0.01256
1692.02	0.84	2.4610982	0.000028	0.036	1247	1.02	5501	0.95	0.00808
1924.01	1.35	2.119128	0.0000377	0.036	1907	1.39	5930	1.91	0.00645
2248.01	1.39	2.8181254	0.0000284	0.036	1011	0.78	5128	0.72	0.01773
